TYPE;FAILURECODE;DESCRIPTION
PROBLEM;FUGAEXT;FUGA EXTERNA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RECORRIVALVU;VÁLVULA DE ADMISION NO HA TERMINADO SU RECORRIDO
REMEDY;REPARAR;REPARAR
CAUSE;CIERREDEFEC;CIERRE DEFECTUOSO
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
CAUSE;DESAJUMECANI;DESAJUSTE MECANICO
CAUSE;SUCIEDAD;SUCIEDAD O CONTAMINACION EN EL EQUIPO
CAUSE;CORROSION;CORROSION
PROBLEM;FALLACIERRE;NO CIERRA
CAUSE;BOBINAQUEMAD;FALLA DEBIDO A BOBINA DE CIERRE/APERT QUEMADA
REMEDY;REPARAR;REPARAR
REMEDY;ACOPLAR;ACOPLAR
REMEDY;LUBRICAR;LUBRICAR
CAUSE;CONTACTODESG;CONTACTOS DESGASTADOS
PROBLEM;CONECTDEFECT;CONECTOR DEFECTUOSO
CAUSE;CALENTAMIENTO;CALENTAMIENTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CALEFACCMALA;CALEFACCION MALA
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
PROBLEM;DANOINFRAEST;DANO INFRAESTUCTURA DE SOPORTE
REMEDY;RECONSTRUIR;RECONSTRUIR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CON SUL;CONEXIONES SULFATADAS O FLOJAS (PUNTOS CONEXION CU)
PROBLEM;RUI.EXC;RUIDO EXCESIVO
CAUSE;CON SUL;CONEXIONES SULFATADAS O FLOJAS (PUNTOS CONEXION CU)
CAUSE;DAN.BOB;DANO EN BOBINAS DE CIERRA O APERTURA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;FALT.NIVEL;FALTA NIVEL DE ACEITE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;NIV_REFRI_BAJO;BAJO NIVEL DE REFRIGERANTE
CAUSE;LLANTA_ROTA;LLANTAS EN FALLA POR GOLPE O ROTURA
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;FUSIBLE_MALO;FUSIBLES DEFECTUOSOS
CAUSE;LIN_AIRE_ROTA;LINEAS NEUMATICAS DESGASTADAS O ROTAS
REMEDY;REPARAR;REPARAR
FAILURECLASS;COMPUERTA;COMPUERTA
PROBLEM;BLOQUEAD;BLOQUEADA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
CAUSE;SOBCARGA;SOBRECARGA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BIELAREVENTA;BIELA REVENTADA
CAUSE;CALEFACCMALA;CALEFACCION MALA
REMEDY;REPARAR;REPARAR
REMEDY;CALIBRAR;CALIBRAR
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
REMEDY;CALIBRAR;CALIBRAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;SUCIEDAD;SUCIEDAD O CONTAMINACION EN EL EQUIPO
CAUSE;SUCIEDAD;TRANSFORMADOR  DE POTENCIAL CORROIDO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RECONSTRUIR;RECONSTRUIR
FAILURECLASS;TRAFOPOT;TRANSFORMADOR DE POTENCIA
PROBLEM;NOTRANSFOR;NO TRANSFORMA TENSIONES Y/O CORRIENTES
CAUSE;PROTOPERINCO;PROTECCIONES  TRANSFORMADOR OPERA INCORRECTAMENTE
CAUSE;RESPIROBSTRU;RESPIRADOR DE SILICA OBSTRUIDO
PROBLEM;NOGARAINAISE;NO GARANTIZA INGRESO DE AIRE SECO AL TRANSFORMADOR
REMEDY;RESTABLECER;RESTABLECER
CAUSE;SOLDADEFICIE;SOLDADURA DEFICIENTE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;ACCESORIO;FALLA EN ACCESORIO (VALVULA, SELLO, EMPAQUE, BRIDA)
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
PROBLEM;NOALMDERACE;NO ALMACENA DERRAMES DE ACEITE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;MALCONTINT;MAL CONTACTO INTERNO DEL CAMBIADOR SIN CARGA
REMEDY;REPARAR;REPARAR
CAUSE;HUNDIMTERRE;HUNDIMIENTO DEL TERRENO
PROBLEM;CABPUETIEFAL;CABLE DE PUESTA A TIERRA SUELTO O EN MAL ESTADO /AUSENTE
CAUSE;BOBINAQUEMAD;FALLA DEBIDO A BOBINA DE CIERRE/APERT QUEMADA
CAUSE;MOTORQUEMAD;MOTOR QUEMADO
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
REMEDY;LIMPIAR;LIMPIAR
PROBLEM;FUGAMEDIAISL;FUGA DE MEDIO AISLANTE  DEL INTERRUPTOR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOHAYINDICAC;NO HAY SEÑALIZACION ELECTRICA ESTADO INTERRUPTOR
CAUSE;SUJECISUELTA;ELEMENTO DE SUJECION SUELTO
REMEDY;AJUSTAR;AJUSTAR
REMEDY;REPARAR;REPARAR
CAUSE;CALEFACCMALA;CALEFACCION MALA
CAUSE;CONTAMINACION;CONTAMINACION
CAUSE;MOTORQUEMAD;MOTOR QUEMADO
PROBLEM;TIEMCIER70;TIEMPO DE CIERRE SUPERIOR A 70 mS
CAUSE;TRINQUEDESPO;TRINQUETE DESPOSICIONADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;SUICHEDESCAL;SUICHE TAMBOR DESPOSICIONADO
CAUSE;DESCALIBRACION;BRAZOS DE ACCIONAMIENTO DESCALIBRADOS
PROBLEM;INDICASUELTO;INDICADOR DE POSICION SUELTO
PROBLEM;CORROSION;CORROSION
CAUSE;HUMEDAD;HUMEDAD EN EL EQUIPO
CAUSE;CONECTDEFECT;CONECTOR DEFECTUOSO
CAUSE;BORNEABIERTO;BORNE ABIERTO
PROBLEM;DESTRUCCION;DESTRUCCION
CAUSE;PERDIDAISLAMI;PERDIDA DE AISLAMIENTO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOVISUANIVEL;NO SE VISULIZA EL NIVEL DE ACEITE
CAUSE;CABTIERROTO;CABLE DE PUESTA A TIERRA CON HILOS ROTOS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;EMPAQUEDANAD;EMPAQUETADURA DANADA
REMEDY;REPARAR;REPARAR
CAUSE;FALALIMCONT;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
REMEDY;REARMAR;REARMAR
PROBLEM;NOMUESVARIE;PERDIDA  INDICACION DE LAS VARIABLES ELECTRICAS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;PINTAR;PINTAR
REMEDY;REINICIAR;REINICIAR
CAUSE;PUERTO;DANO EN PUERTO
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;CUCHA_CARG_FAL;CUCHARON CARGADOR EN FALLA, DEFECTUOSO O ROTO
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;VALV_HCA_FALLA;VALVULAS CON FALLA POR SUCIEDAD, FUGA O DESGASTE
PROBLEM;MOTOR_FALLA;MOTOR NO ENCIENDE
CAUSE;NIVEL_OIL_BAJO;BAJO NIVEL DE ACEITE
CAUSE;ENGR_DESGASTE;ENGRANAJES EN FALLA POR DESGASTE
CAUSE;LIN_HCA_ROTA;LINEAS HIDRAULICAS DESGASTADAS O ROTAS
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
CAUSE;FUGA_OIL;FUGA DE ACEITE
REMEDY;REPARAR;REPARAR
CAUSE;IMPULSOR_FALLA;DESGATE EN LOS IMPULSORES
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;ELECTRIC_FALLA;SISTEMA ELECTRICO EN FALLA
CAUSE;PLATO_PR_FALLA;PLATO DE PRESION DEFORMADO O DESGASTADO
CAUSE;RODAMIEN_FALLA;RODAMIENTOS Y COJINETES EN FALLA POR DESGASTE
CAUSE;AMORTIGU_FALLA;AMORTIGUADOR EN FALLA
PROBLEM;DIFERENC_FALLA;DIFERENCIAL EN FALLA
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;CARGAR;CARGAR
REMEDY;REPONER;REPONER
PROBLEM;DANOINFRAEST;DANO INFRAESTUCTURA DE SOPORTE
CAUSE;HUNDIMTERRE;HUNDIMIENTO DEL TERRENO
PROBLEM;PERDIDAGALVI;PERDIDA DE GALVANIZADO EN ESTRUCTURAS
REMEDY;PINTAR;PINTAR
CAUSE;CALENTAMIENTO;CALENTAMIENTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;SUCIEDAD;SUCIEDAD O CONTAMINACION EN EL EQUIPO
CAUSE;FUER.DIS;PUESTA A TIERRA FUERA DE VALORES ESTANDAR
REMEDY;AJUSTAR;AJUSTAR
CAUSE;BREAKERMALO;BREAKER GENERAL MALO
CAUSE;CALENTAMIENTO;CALENTAMIENTO
REMEDY;RESTABLECER;RESTABLECER
CAUSE;CORROSION;CORROSION
REMEDY;LIMPIAR;LIMPIAR
PROBLEM;FUGAREFRIGER;FUGA DE REFRIGERANTE
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
CAUSE;CABTIERROTO;CABLE DE PUESTA A TIERRA CON HILOS ROTOS
REMEDY;SOLDAR;SOLDAR
PROBLEM;FALLAMOTOR;FALLA MOTOR
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
REMEDY;REPARAR;REPARAR
CAUSE;FALLSENTEM;FALLA SENSORES DE TEMPERATURA
CAUSE;SOBRCALENT;SOBRECALENTAMIENTO
CAUSE;ACCESORIO;FALLA EN ACCESORIO (VALVULA, SELLO, EMPAQUE, BRIDA)
PROBLEM;ATASCADO;ATASCADO
CAUSE;TRANSMIS1;FALLA TRANSMISION
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;ROTURA;ROTURA
PROBLEM;FALT.PRES;FALTA PRESIÓN ACEITE
CAUSE;FILT.SUCIO;FILTRO SUCIO
CAUSE;EMPDANA;EMPAQUETADURA DAÑADA
PROBLEM;FALT.NIVEL;FALTA NIVEL DE ACEITE
REMEDY;LIMPIAR;LIMPIAR
REMEDY;REPARAR;REPARAR
CAUSE;DESGECOB;DESGASTE EXCESIVO ESCOBILLAS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
PROBLEM;FUGA;FUGA
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;FAL.ALIM;FALLA DE ALIMENTACIÓN
CAUSE;DETERIOR;DETERIORO
REMEDY;INSPECCI;INSPECCI
PROBLEM;CONECTDEFECT;CONECTOR DEFECTUOSO
CAUSE;DETERIOR;DETERIORO
PROBLEM;SALERRATIC;SALIDA ERRATICA
REMEDY;INSPECCI;INSPECCIONAR
REMEDY;REPARAR;REPARAR
REMEDY;REPRGAM;REPROGRAMAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REVISAR;REVISAR
REMEDY;CONECTAR;CONECTAR
CAUSE;BLOQUEO;BLOQUEO
CAUSE;CABLE;CABLE DANADO
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;PIGTAIL;PIGTAIL
REMEDY;AJUSTAR;AJUSTAR
CAUSE;CONECTOR;CONECTOR DANADO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;PERDIVISTA;PERDIDA DE LINEA DE VISTA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CONFIGURAR;CONFIGURAR
CAUSE;PERDIENRUTAM;PERDIDAD DE ENRUTAMIENTO
REMEDY;CONFIGURAR;CONFIGURAR
REMEDY;REPONER;REPONER
FAILURECLASS;ROUTER;ROUTER
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;ENRUTAMIENTO;ENRUTAMIENTO
CAUSE;PERDIENRUTAM;PERDIDAD DE ENRUTAMIENTO
CAUSE;MODUPOTEN;DANO MODULO DE POTENCIA
PROBLEM;PROTECCIONES;PROTECCIONES
CAUSE;PROTECTOR;DANO PROTECTOR
CAUSE;PERDI.CONFIG;PERDIDAD DE CONFIGURACION
REMEDY;REPONER;REPONER
REMEDY;CAMBIAR;CAMBIAR
FAILURECLASS;INTERAIR;INTERRUPTOR DE AIRE
REMEDY;REPARAR;REPARAR
PROBLEM;CONFIGURACION;CONFIGURACION
CAUSE;BATE.DESCAR;BATERIA DESCARGADA
PROBLEM;COMU_BLOQ;COMUNICACIONES BLOQUEADAS
REMEDY;RESET_LOCAL;REINICIO LOCAL
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;SUMI_AC;SUMINISTRO DE AC
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CONFIGURAR;CONFIGURAR
CAUSE;CANALSATU;CANAL SATURADO
REMEDY;RESTABLECER;RESTABLECER
REMEDY;CONFIGURAR;CONFIGURAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AJUSTAR;AJUSTAR
CAUSE;DANO.PSERIAL;DANO EN PUERTO SERIAL
CAUSE;CABLE;CABLE DANADO
REMEDY;CONFIGUR;CONCENTRADOR DESCONFIGURADO
FAILURECLASS;MOTOBOMB;MOTOBOMBA
CAUSE;NOALIMPOTENC;NO HAY ALIMENTACION DE POTENCIA
PROBLEM;PRESIONBOMBA;BOMBAS NO LEVANTAN PRESION
CAUSE;DANO.VALVU;DANO DE VALVULAS
REMEDY;CORREGIR;CORREGIR
CAUSE;SET.POINTDESAJ;SET.POINT DESAJUSTADO
REMEDY;CORREGIR;CORREGIR
CAUSE;DEVANADOABIER;DEVANADO DEL ROTOR ABIERTO
CAUSE;CIRCUDISPA;DANO EN EL CIRCUITO DE CONTROL DE DISPARO
REMEDY;CORREGIR;CORREGIR
PROBLEM;VOLTATECHONEGA;VOLTAJE DE TECHO NEGATICO EN UN RECHAZO DE CARGA
FAILURECLASS;REGU ELECT;REGULADOR ELECTRONICO
PROBLEM;FALLASUICH;SUICHE NO TRABAJA CORRECTAMENTE
REMEDY;CORREGIR;CORREGIR
PROBLEM;ROTURA;ROTURA
PROBLEM;CORT.SOBREC;CORTOCIRCUITO, SOBRECARGA
CAUSE;QUEMADO;COMPONENTE QUEMADO
REMEDY;REPARAR;REPARAR
CAUSE;FALLA.CONTROL;FALLA  CONTROL Y/O MOTOBOMBAS
PROBLEM;DEFIC.ESTRUC;FALLA ESTRUCTURAL
CAUSE;FALL.FUSIB;FALLA FUSIBLES
REMEDY;REPARAR;REPARAR
CAUSE;CORROCABLE;CORROSION CABLE Y MATERIALES
REMEDY;REPARAR;REPARAR
CAUSE;FALTA.LUBRIC;FALTA LUBRICACION
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;ALT.TEMP.COJIN;ALTA TEMPERATURA DEL COJINETE
CAUSE;BAJO.NIVEL;BAJO NIVEL DE ACEITE
REMEDY;CORREGIR;CORREGIR
PROBLEM;DANOALARMA;DAR ALARMA PERO LA TEMPERATURA SE ENCUENTRA NORMAL
CAUSE;COJINETDESALIN;DESALINEAMIENTO DE LOS SEGMENTOS DEL COJINETE
FAILURECLASS;INTERCAMBIADOR;INTERCAMBIADOR DE CALOR
CAUSE;FUGSISTE;FUGA EN EL SISTEMA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BOBIQUEM;PARADA POR ROTURA - BOBINA QUEMADA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NO.COMUPROGR;NO SE COMUNICA CON PROGRAMADOR EXTERNO
CAUSE;OBSTRU.TUBE;OBSTRUCCION DE TUBERIA INGRESO A RADIADORES
PROBLEM;PERD.PRES;NO HAY PRESION O ES MENOR A LO REQUERIDO
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AISLADORREVE;AISLADORREVE
REMEDY;REPROGRA;REPROGRAMAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;MALD;MAL DISENO
REMEDY;REPARAR;REPARAR
CAUSE;ATENTADO;ATENTADO
CAUSE;DESP.TER;DESPLAZAMIENTO DEL TERRENO
CAUSE;TERCERO;DANO OCASIONADO POR TERCERO (VANDALISMO)
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
REMEDY;REPARAR;REPARAR
PROBLEM;FUGA;FUGA
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
CAUSE;CORR.MC;CORROSION DEBIDO A MALA CALIDAD DE MATERIALES
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;QUEM.MC;QUEMADO POR MATERIALES DE MALA CALIDAD
CAUSE;SULF;CONEXION SULFATADA
CAUSE;HURTO;HURTO
CAUSE;ROTA;PUESTA A TIERRA ROTA O SUELTA
REMEDY;REPARAR;REPARAR
REMEDY;AJUSTAR;AJUSTAR
CAUSE;ENVEJEC;ENVEJECIMIENTO DEL AISLAMIENTO
CAUSE;DESG.MC;DESGASTE POR MATERIALES DE MALA CALIDAD
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DISP.DES;(SOLO OPERACION) DISPARO POR CAUSAS DESCONOCIDAS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LUBRICAR;LUBRICAR
CAUSE;SELO.DES;SELLO DESALINEADO
CAUSE;CORREXT;CORROSION EXTERNA
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;DISP.BLO;BLOQUEO DEL DISPOSITIVO
CAUSE;VIBRACIO;VIBRACION EXCESIVA
FAILURECLASS;SECCIONA;SECCIONADOR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CALIBRAR;CALIBRAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESAJUMECANI;DESAJUSTE MECANICO
REMEDY;PINTAR;PINTAR
CAUSE;RECORRINCOMP;RECORRIDO INCOMPLETO DE LOS BRAZOS
REMEDY;CALIBRAR;CALIBRAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;FUGA;FUGA
CAUSE;CORREXT;CORROSION EXTERNA
PROBLEM;FUGAEMP;FUGA POR EMPAQUETADURA
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;IMPATASC;IMPULSOR ATASCADO
PROBLEM;VIBRACIO;VIBRACION EXCESIVA
REMEDY;REPARAR;REPARAR
PROBLEM;DANO.CON;NO OPERA POR DANO EN SISTEMA DE CONTROL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
PROBLEM;SOBREQ;SOBRECARGA
CAUSE;FALLPROT;FALLA PROTECCION SOBRECARGA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CBL.CONT;CABLE DE CONTROL O CONEXIONES SUELTAS O DANADAS
CAUSE;DISP.BLO;BLOQUEO DEL DISPOSITIVO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;PERD.CAU;PERDIDA DE CAUDAL
CAUSE;DESG.ANILL;DESGASTE EN ANILLOS
REMEDY;REPARAR;REPARAR
CAUSE;FUGA;FUGA
CAUSE;FILT.SUCIO;FILTRO SUCIO
PROBLEM;VIBRACION;VIBRACION
CAUSE;RADIADR_OBSTRU;RADIADOR OBSTRUIDO
CAUSE;VENTILAD_FALLA;VENTILADOR DEL SISTEMA DE ENFRIAMIENTO EN FALLA
PROBLEM;MOTOR_FALLA;MOTOR NO ENCIENDE
REMEDY;REPONER;REPONER
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
CAUSE;FUSIBLE_MALO;FUSIBLES DEFECTUOSOS
CAUSE;COMPRESO_FALLA;COMPRESOR EN FALLA
CAUSE;BATERIA_FALLA;BATERIA DESCARGADA O DEFECTUOSA
REMEDY;CARGAR;CARGAR
REMEDY;REPARAR;REPARAR
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;OPERAC;OPERACION INCORRECTA
REMEDY;REPARAR;REPARAR
CAUSE;CONXSUEL;CONEXIONES SUELTAS
REMEDY;REPARAR;REPARAR
CAUSE;GRAVBAJA;GRAVEDAD ESPECIFICA BAJA
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
REMEDY;REPARAR;REPARAR
REMEDY;LUBRICAR;LUBRICAR
PROBLEM;DESTRUCCION;DESTRUCCION
REMEDY;CAMBIAR;CAMBIAR
CAUSE;TRINQUEDESPO;TRINQUETE DESPOSICIONADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CALIBRAR;CALIBRAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;TIEMAPER25;TIEMPO DE APERTURA SUPERIOR A 25 mS
CAUSE;CORROSION;CORROSION
CAUSE;CONTACDANADO;CONTACTO DEL INSTRUMENTO DANADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;CAMBIADFALLA;CAMBIADOR DE TAPS FALLADO
REMEDY;REPARAR;REPARAR
CAUSE;VALVULAMALA;VALVULA MALA
REMEDY;ABRIR;ABRIR
CAUSE;CONTACDANADO;CONTACTO DEL INSTRUMENTO DANADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALALIMDISP;FALTA DE ALIMENTACION CIRCUITO DE DISPARO
CAUSE;DAMECMECAOPE;DANO MECANICO DEL MECANISMO DE OPERACION
REMEDY;REPARAR;REPARAR
CAUSE;EMPAQUEDANAD;EMPAQUETADURA DANADA
CAUSE;CALEFACCMALA;CALEFACCION MALA
PROBLEM;NOLUCEACEPTA;NO LUCE ACEPTABLE
FAILURECLASS;INTERACEI;INTERRUPTOR CON MEDIO DE EXTINCION EN ACEITE
REMEDY;RESTABLECER;RESTABLECER
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOVISUANIVEL;NO SE VISULIZA EL NIVEL DE ACEITE
PROBLEM;FALLACIERRE;NO CIERRA
REMEDY;ACOPLAR;ACOPLAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;GATILLODANAD;GATILLO APERTURA/CIERRE DEFECTUOSO
CAUSE;DANOEMPAQUE;EMPAQUE DANADO
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
REMEDY;CALIBRAR;CALIBRAR
REMEDY;RECONSTRUIR;RECONSTRUIR
PROBLEM;HUMEGABICONT;HUMEDAD EN GABINETE DE CONTROL
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
CAUSE;TRINQUEDESPO;TRINQUETE DESPOSICIONADO
CAUSE;GATILLODANAD;GATILLO APERTURA/CIERRE DEFECTUOSO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RESTABLECER;RESTABLECER
CAUSE;TRINQUEPEGAD;TRINQUETE DE CIERRE/APERT PEGADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;SUJECISUELTA;ELEMENTO DE SUJECION SUELTO
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
REMEDY;SOLDAR;SOLDAR
CAUSE;SOLDADEFICIE;SOLDADURA DEFICIENTE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;PRENSAESDEFE;PRENSAESTOPAS  GABINETE CONEXIONADO DEFECTUOSAS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CALEFACCMALA;CALEFACCION MALA
PROBLEM;DANOINFRAEST;DANO INFRAESTUCTURA DE SOPORTE
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOENTREGACD;NO ENTREGA CORRIENTE DIRECTA
CAUSE;DANOTARJCONT;DANO EN LA TARJETA DE CONTROL
CAUSE;FALALIMSEN;FALTA  ALIMENTACION EN EL CIRCUITO DE SENALIZACION
REMEDY;RESTABLECER;RESTABLECER
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
CAUSE;CORROSION;CORROSION
CAUSE;SUCIEDAD;SUCIEDAD O CONTAMINACION EN EL EQUIPO
CAUSE;BATE.DESCAR;BATERIA DESCARGADA
PROBLEM;CONFIGURACION;CONFIGURACION
CAUSE;LIN_HCA_ROTA;LINEAS HIDRAULICAS DESGASTADAS O ROTAS
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;CORTO_SIST_ELE;CORTO EN EL SISTEMA ELECTRICO
REMEDY;REPONER;REPONER
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;CIL_HCO_FALLA;CILINDRO HIDRAULICO EN FALLA
REMEDY;LIMPIAR;LIMPIAR
CAUSE;NIVEL_OIL_BAJO;BAJO NIVEL DE ACEITE
CAUSE;NIVEL_OIL_BAJO;BAJO NIVEL DE ACEITE
PROBLEM;SERVO_FALLA;SERVOTRANSMISION EN FALLA
CAUSE;COJINETE_FALLA;COJINETES EN FALLA POR DESGASTE
CAUSE;NIVEL_OIL_BAJO;BAJO NIVEL DE ACEITE
PROBLEM;DIRECCIO_FALLA;SISTEMA DE DIRECCION EN FALLA
CAUSE;ROTULA_FALLA;ROTULAS EN FALLA POR DESGASTE
REMEDY;REMPLAZAR;REMPLAZAR
PROBLEM;SUSPENSI_FALLA;SISTEMA DE SUSPENSION EN FALLA
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;HURTO;HURTO
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
PROBLEM;FAAI;NO OPERATIVO POR DANO DEL AISLAMIENTO
CAUSE;DESG.MC;DESGASTE POR MATERIALES DE MALA CALIDAD
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RELEFALLADO;RELE SENALIZACION FALLADO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOLUCEACEPTA;NO LUCE ACEPTABLE
